target,elo_diff,elo_hard_diff,rank_diff,rank_points_diff,elo_clay_diff,elo_grass_diff,age_diff,height_diff
1,-35.88932253774715,-31.56037322696625,15.0,-49.0,-1.7919530361862144,-49.71176842172781,9.200000000000003,4.0
0,2.7959682355665336,-11.8730355242501,1.0,-0.0,91.74760579816802,1.710736670930828,-1.1999999999999993,3.0
0,92.30592743538227,-49.9657666296323,-130.0,550.0,81.26892139988945,17.933988276500486,-0.0,-0.0
1,-318.19113697594526,-309.12466642744766,93.0,-1792.0,-88.05107884280005,-229.82725886904427,-4.199999999999999,-17.0
1,-111.61919393043672,-126.07472495312459,-3.0,15.0,40.54137454143802,-70.37418110904878,0.6000000000000014,-8.0
1,38.741455395691446,17.768486495851903,41.0,-182.0,77.89512743886598,160.54524811738042,-1.6999999999999993,0.0
0,-50.49240312844154,-117.33491985423348,-1.0,25.0,-8.225478189733849,-244.99768872078607,2.5,-7.0
1,154.18569021876328,68.4923284147419,-94.0,840.0,136.90810566922187,51.25446719403226,-4.599999999999998,11.0
0,-343.5855250014106,-237.72443021547383,71.0,-868.0,-167.29460991742258,-69.2779725336145,0.7999999999999972,-8.0
0,-511.98317158477994,-341.53899252461633,77.0,-3270.0,-370.4489293766874,-208.8795995736516,-2.3000000000000007,-3.0
1,-157.73680946650325,-179.00252322527604,55.0,-436.0,9.572121072566006,-218.54945443225301,-8.3,3.0
1,90.49129050203578,131.96063838814734,-40.0,1011.0,121.13671204829643,60.95564687897354,2.6000000000000014,-13.0
0,-86.97880790282125,-40.69493782852669,72.0,-392.0,-72.74672833312275,-18.88601282151535,-1.6000000000000014,-5.0
0,19.48054318354366,28.5037869593948,117.0,-371.0,38.800315140857265,-52.92866853535065,-4.300000000000001,-28.0
1,61.46819858582194,144.21084790599252,85.0,-268.0,14.371687946189468,59.7761163493783,-8.799999999999997,-5.0
1,35.79902603586925,-11.114071410380348,-41.0,523.0,22.29326017642029,18.792588868402618,-5.799999999999997,-25.0
1,414.77895321330425,360.4852394516947,-87.0,3594.0,279.68450867548495,188.94991658061645,1.4000000000000021,8.0
0,-254.02000055731878,-202.577068028472,62.0,-944.0,-141.94534046541253,-82.20855139862533,-7.100000000000001,-5.0
0,114.0299890785659,99.97254535687898,-86.0,503.0,35.93035680361095,114.0299890785659,4.399999999999999,-0.0
0,12.063345880726047,-5.021475290912804,1.0,-18.0,78.69543705538376,-15.284485541923686,0.7999999999999972,-2.0
0,171.17216710995058,181.91510688270205,-46.0,1634.0,100.34343201359798,174.94608364248643,5.100000000000001,-0.0
0,-289.61107849488894,-186.9610570640334,90.0,-1618.0,-187.34228325928962,-228.26456775169004,-7.800000000000001,10.0
0,-294.70659274346735,-216.64528058586052,76.0,-613.0,-170.11639554423823,-79.73291041983157,-8.8,-10.0
1,-48.59824758541777,-57.784348524464804,-36.0,320.0,-31.910034386358802,-233.95696653435039,2.0,-8.0
0,-550.0206971990526,-474.77451295907645,127.0,-3930.0,-352.10293455041415,-441.9653938660065,-10.5,-2.0
0,-202.81966157557326,-88.90943854876718,299.0,-1476.0,-18.89480557303591,-92.13858346405118,-3.400000000000002,-20.0
0,-168.40643592817946,-128.80926526637927,66.0,-720.0,-58.87096421820479,-46.1556680939334,4.700000000000003,-12.0
1,2.2504018202228053,-45.64216294090647,-76.0,314.0,-10.37909027681485,99.61306833898811,1.5,-8.0
0,-417.0079321574274,-356.52466176629264,71.0,-4968.0,-444.5460545345022,-245.72879439305393,-6.800000000000001,15.0
0,78.44811949508357,64.92202013994279,-21.0,109.0,43.30313325600491,20.766282005591393,-4.100000000000001,-2.0
1,-187.87888132778858,-56.266437120158116,21.0,-247.0,45.441669073630464,-150.26802543314807,-5.799999999999997,-3.0
0,-163.791971709702,-129.80258398813817,127.0,-955.0,41.90284016035298,-0.4071110906056674,2.6999999999999993,-0.0
0,-222.738231425521,-82.38354997547845,29.0,-854.0,-172.31375526486295,-47.366304737989594,-3.3000000000000007,13.0
0,-101.41991391279089,-71.55073703927201,25.0,-351.0,25.20197560417273,-33.86965405556066,-9.5,3.0
0,-103.16002168031196,-159.64910124895732,11.0,-74.0,-55.09965948184163,-74.83883550420137,-1.0,13.0
0,-377.3118938843768,-312.3107225966223,167.0,-2854.0,-266.73191015620773,-196.45232553961023,3.5,2.0
1,122.10076056304752,86.36179342881837,-29.0,384.0,171.05661304265436,-64.15651335554139,3.6999999999999993,10.0
1,164.16119116141476,182.975647996009,-18.0,212.0,-49.95449069797701,110.16979448710981,0.09999999999999787,10.0
1,110.4504073225362,115.697166871636,-18.0,403.0,-98.14156730348304,-127.83653528461036,-4.399999999999999,5.0
0,-238.676391640136,-130.52373498441716,69.0,-698.0,-120.07562823579224,-100.20449766803495,1.3000000000000007,-0.0
0,-55.156887497762,-5.935201634801615,59.0,-430.0,-3.7257744337205168,-38.81297831112124,1.1999999999999993,-2.0
0,-254.18578776814934,-38.27576567283268,73.0,-1319.0,-301.1366563671668,-12.685240395665915,4.099999999999998,-0.0
1,687.9185393745738,583.5555226475981,-94.0,11678.0,543.4588788988742,410.80480290884316,0.5,3.0
0,-229.53961676822064,-220.2026059646364,63.0,-663.0,-154.30790531428647,-155.00859967486622,-6.0,-2.0
0,151.5910927392024,87.01346250545703,-66.0,765.0,237.81395584175743,213.06357436127269,5.400000000000002,7.0
